mu,std_y,rms_y,rms_dy,rms_ddy,energy_y,signal_power,peak_to_peak,crest_factor,zero_crossings,entropy_y,skewness_y,kurtosis_y,mean_abs_y,shape_factor,regime
1e-09,0.999999999999998,0.994987437106618,0.0629531165215677,0.025085622426756,98.9999999999996,0.989999999999996,2.82085377519549,1.42466201831645,28,6.19041371273743,0.0185275730786801,1.51140884153654,0.892737212386885,1.11453563635636,Harmonic
4.0,1.0,0.99498743710662,0.458527061032902,0.427278087911011,99.0,0.99,2.58460953927278,1.3445494279648,8,6.27682477193604,0.072997154822293,1.38122871369788,0.907419171093667,1.0965025522961,Strong_Nonlinear
4.0,1.0,0.99498743710662,0.471906379593615,0.429505649102696,98.9999999999999,0.989999999999999,2.62448358277138,1.34313287062882,9,6.24971254735359,-0.0500795178029037,1.40970377899271,0.899349005356143,1.10634184413492,Strong_Nonlinear
3.0,1.0,0.99498743710662,0.388492687227306,0.303571889847978,99.0,0.99,2.5841021658261,1.30617261225286,10,6.29419194318412,0.021748956895917,1.3590804777409,0.908668903971758,1.09499448342247,Strong_Nonlinear
0.0,0.999999999999998,0.994987437106618,0.067106460401649,0.0269230177212114,98.9999999999997,0.989999999999997,2.81079406721611,1.41249769232548,27,6.19390373048323,-0.0005398214028137,1.50639793657209,0.89386444440198,1.11313012094613,Harmonic
12.0,1.0,0.99498743710662,0.691489424617201,1.69678061986451,99.0,0.99,2.50608661335481,1.42734412069382,4,6.37412061684801,0.265279266602588,1.30818619191875,0.935223218639266,1.0639036940874,Relaxation
2.0,1.0,0.99498743710662,0.369511011302314,0.220322538463527,98.9999999999999,0.989999999999999,2.6947731795302,1.37037766553526,13,6.23610291606044,0.0493316966449783,1.43533399201006,0.898617238183071,1.10724276680737,Strong_Nonlinear
15.0,1.0,0.99498743710662,0.689562674973053,2.24672495842915,98.9999999999999,0.989999999999999,2.40875026006608,1.26776914125744,3,6.45715470176703,0.0520788972746214,1.18956682477029,0.95136429237022,1.04585324999714,Relaxation
12.0,1.0,0.99498743710662,0.577831708990112,1.49896026773176,98.9999999999999,0.989999999999999,2.367848325993,1.21911712327435,3,6.47752488214443,-0.0331919755167909,1.16676775524722,0.956076127034967,1.04069896629709,Relaxation
1e-10,0.999999999999998,0.994987437106618,0.0535769805538326,0.0215344518832626,98.9999999999996,0.989999999999996,2.80677467281702,1.42176734858029,29,6.1919540178617,-0.0130818387898535,1.50483844160834,0.892776740395372,1.11448628989369,Harmonic
1e-09,0.999999999999998,0.994987437106618,0.060471228849215,0.0239186472715595,98.9999999999996,0.989999999999996,2.76234616412879,1.41082125084944,29,6.18744995547164,-0.0276270394884091,1.52180379304066,0.896344203154775,1.11005061850644,Harmonic
2.0,1.0,0.99498743710662,0.362155330124129,0.221784438991651,99.0,0.99,2.63789398575777,1.33415342772673,12,6.2792496373,-0.0029971302899002,1.381974084677,0.909762274821046,1.09367849672854,Strong_Nonlinear
4.0,1.0,0.99498743710662,0.471906381087332,0.429505649441073,98.9999999999999,0.989999999999999,2.62448358625033,1.3431328765443,9,6.24971254157761,-0.0500795319801542,1.40970378440176,0.899349002384033,1.10634184779108,Strong_Nonlinear
0.01,1.0,0.99498743710662,0.352068079841348,0.141005669601884,98.9999999999999,0.989999999999999,2.81326992108363,1.44374840688797,27,6.18847083121675,-0.0462565846217859,1.51281042281748,0.891811240646325,1.11569286386828,Weak_Nonlinear
0.01,1.0,0.99498743710662,0.352146263244851,0.140974677041677,98.9999999999999,0.989999999999999,2.81449526170842,1.44631440072111,27,6.18589772529999,-0.051179093800654,1.51454097019688,0.89103968222084,1.11665895129014,Weak_Nonlinear
3.0,1.0,0.99498743710662,0.388492686946903,0.303571889639666,98.9999999999999,0.989999999999999,2.58410216521579,1.30617261228383,10,6.29419194346797,0.0217489571885171,1.35908047731592,0.908668903864699,1.09499448355148,Strong_Nonlinear
15.0,1.0,0.99498743710662,0.71641128988344,2.22082400281717,99.0,0.99,2.41506914873324,1.46404300683351,3,6.35390277317073,0.445485327832123,1.37118785290239,0.935295933807385,1.06382098022841,Relaxation
4.0,1.0,0.99498743710662,0.471906376109567,0.42950564838461,98.9999999999999,0.989999999999999,2.62448357590803,1.34313286794289,9,6.24971255668729,-0.0500795198346221,1.40970377020808,0.899349007503544,1.10634184149327,Strong_Nonlinear
12.0,1.0,0.99498743710662,0.618484589117652,1.46136442267705,98.9999999999999,0.989999999999999,2.35189552291656,1.22139757720819,3,6.47816635864237,-0.0914482016487579,1.17148746756192,0.957747455972204,1.03888288181002,Relaxation
0.1,1.0,0.99498743710662,0.349172974591787,0.144210122725018,98.9999999999999,0.989999999999999,2.77053054778998,1.40557671923058,27,6.21403871513052,0.0236671717849543,1.48455538955248,0.900502093567742,1.10492517920145,Weak_Nonlinear
0.1,1.0,0.99498743710662,0.35175361255386,0.143297657899285,98.9999999999999,0.989999999999999,2.79179626014966,1.427462492478,27,6.20522446603385,-0.0305800137659388,1.49850112622907,0.898770803420481,1.10705358175851,Weak_Nonlinear
