model,cv_f1_weighted,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,roc_auc_ovr,fit_time_s,predict_time_s
Ridge Classifier,1.0,0.9970213918223666,0.9970387138894847,0.9970213918223666,0.9970179671419337,0.9985461274121068,0.9974056603773584,0.9979670082819326,0.9966671594729638,1.3600696639999796,0.27154246899999634
Logistic Regression,1.0,0.962767397779583,0.9653043069992596,0.962767397779583,0.9621328258410455,0.9829658077304262,0.9675707547169812,0.9738432879331964,1.0,10.178491514999905,0.17325622800001383
LDA,1.0,0.95802870295153,0.9612247486614355,0.95802870295153,0.9572039837149965,0.9809629083763203,0.9634433962264151,0.9703845968909439,1.0,0.345006742999999,0.07863642500001333
SGD Classifier,1.0,0.9394800974817222,0.9486885180899738,0.9394800974817222,0.9316511074590375,0.9564335630046553,0.86409323879643,0.8843128043232101,0.989968800652949,1.5966664939999191,0.14745164300006763
Passive Aggressive,1.0,0.920796100731113,0.9314574631499576,0.920796100731113,0.9127691988636022,0.9663483663138518,0.8478196538907696,0.8812664636965433,0.9982096315424761,1.8203513049999174,0.23451325300004555
Linear SVM,1.0,0.9041429731925265,0.9193290942441467,0.9041429731925265,0.8964361422938248,0.9603938241217275,0.8333149369096375,0.8697239610109367,1.0,3.236373497000045,0.3586757390000912
Nearest Centroid,1.0,0.879907933929055,0.8857289477186785,0.879907933929055,0.8707292914995663,0.9216416137356308,0.8122064463435998,0.8418839844804673,0.9857420741287017,0.12201617499999884,0.09025854700007585
MLP (Shallow),1.0,0.8770647170322231,0.9007710326929126,0.8770647170322231,0.8690172951314483,0.9507543516865729,0.8097300312492601,0.8499331791344126,0.9987605549719537,43.70817276499997,0.18693679099988003
MLP (Wide),1.0,0.864473327917682,0.8929618198862669,0.864473327917682,0.8558422510946013,0.9474485510289794,0.7987630501171847,0.8404473135920494,0.9983241123363279,147.4052558589999,0.33595391699986976
MLP (Deep),1.0,0.8651502843216897,0.8718329711508714,0.8651502843216897,0.8548029739969477,0.9156780136550667,0.7993526727586941,0.8315063348910776,0.9937582632582247,90.97858477099999,0.48881433600013224
Multinomial NB,1.0,0.8531004603303547,0.8592669455078639,0.8531004603303547,0.8419348932685833,0.9063120793752029,0.7888573897398262,0.8212162919988898,0.9756718938992434,0.5357749959999865,0.08325869899999816
QDA,1.0,0.8461955050094774,0.8525271417333278,0.8461955050094774,0.8343298436932736,0.9023192046281431,0.78284323879643,0.8156944088260825,0.9676599314838249,0.2936441179999747,0.19641871999999694
Bernoulli NB,1.0,0.8359057676685622,0.875898168550465,0.8359057676685622,0.8244207020706914,0.9390709833098734,0.8138143332307474,0.8488134100855306,0.9631814758098531,0.5862673190000578,0.08911195300004238
NuSVC (RBF),1.0,0.8325209856485243,0.8391922912139453,0.8325209856485243,0.8190060089718992,0.8942991421208482,0.7709328614379394,0.8044901659686822,0.987637698048714,67.6899095739999,0.8426806960000022
Hist Gradient Boosting,1.0,0.8069320335770377,0.813954343200926,0.8069320335770377,0.7892551637571743,0.8786337841896011,0.7486451255888829,0.7824505887012196,0.949260997450292,21.024023424000006,0.3226081200000408
SVM (RBF),1.0,0.8050365556458164,0.812052513296089,0.8050365556458164,0.7869887700692613,0.877425321049693,0.7469941821926565,0.7807566574564068,0.9894115635593038,43.685727541999995,0.24763795700005176
Extra Trees,1.0,0.8001624695369618,0.8071313765788326,0.8001624695369618,0.7811175431030172,0.8742791198042377,0.7427488991737885,0.7763588699226895,0.9927665864678357,23.606339916000024,0.15492039000002933
KNN,1.0,0.7909558624424587,0.7976919931897622,0.7909558624424587,0.7698493943211059,0.8681650639183317,0.7347300312492602,0.7678805776382225,0.8187791928009327,1.2850017050000133,0.38247969799999737
Random Forest,1.0,0.7882480368264284,0.8504414772777835,0.7882480368264284,0.7676921094726181,0.9265727699530517,0.7323715406832224,0.7742518951069062,0.9633994242317234,58.81160569200006,0.26766253400001006
Gaussian NB,1.0,0.7870295152992147,0.7935978101557019,0.7870295152992147,0.7649694528026726,0.8654801204396757,0.7313102199285055,0.7641936518392963,0.9605927585904197,0.46109481999997115,0.08485052699995776
Gradient Boosting,1.0,0.7851340373679935,0.8484307400913893,0.7851340373679935,0.7636714371696295,0.9253583286569398,0.729659276532279,0.7711193448075948,0.9556653553379559,139.6893115549999,0.13442012400003023
Bagging (Tree),1.0,0.7836447332791768,0.8481597017844716,0.7836447332791768,0.761769855015043,0.9254525097966039,0.7283621067209582,0.7696909190577906,0.965058468770767,20.41142738999997,0.234433319000118
Perceptron,1.0,0.7722718656918495,0.8426445869680408,0.7722718656918495,0.7467629898003796,0.9227448098475106,0.7184564463435998,0.7580767266108553,0.9782936684716164,1.587932883999997,0.24805093999998462
Decision Tree,1.0,0.7202816138640672,0.7103730872197158,0.7202816138640672,0.6734769496604127,0.8065227193795809,0.6731734274756753,0.6935376317405327,0.769912204524537,0.9469280580000259,0.08745879599996442
AdaBoost,0.3333333333333333,0.3373950717573788,0.1406371505130869,0.3373950717573788,0.19487844490735923,0.1762318388784976,0.3666875784190715,0.23157773898401218,0.9584163138069899,47.10680839300005,0.33942850900007215
